"Lon" "Lat" "Smith2014" "Smith2014.name"
"340" -159.75 68.75 17 "Desert"
"341" -159.75 69.25 17 "Desert"
"342" -159.75 69.75 17 "Desert"
"343" -159.75 70.25 17 "Desert"
"344" -159.75 70.75 17 "Desert"
"345" -159.25 56.25 13 "Arctic/Alpine Tundra"
"346" -159.25 56.75 4 "Boreal Evergreen Forest/Woodland"
"347" -159.25 58.75 4 "Boreal Evergreen Forest/Woodland"
"348" -159.25 59.25 4 "Boreal Evergreen Forest/Woodland"
"349" -159.25 59.75 4 "Boreal Evergreen Forest/Woodland"
"350" -159.25 60.25 13 "Arctic/Alpine Tundra"
"351" -159.25 60.75 4 "Boreal Evergreen Forest/Woodland"
"352" -159.25 61.25 4 "Boreal Evergreen Forest/Woodland"
"353" -159.25 61.75 4 "Boreal Evergreen Forest/Woodland"
"354" -159.25 62.25 4 "Boreal Evergreen Forest/Woodland"
"355" -159.25 62.75 4 "Boreal Evergreen Forest/Woodland"
"356" -159.25 63.25 4 "Boreal Evergreen Forest/Woodland"
"357" -159.25 63.75 4 "Boreal Evergreen Forest/Woodland"
"358" -159.25 64.25 4 "Boreal Evergreen Forest/Woodland"
"359" -159.25 64.75 13 "Arctic/Alpine Tundra"
"360" -159.25 65.25 4 "Boreal Evergreen Forest/Woodland"
"361" -159.25 65.75 4 "Boreal Evergreen Forest/Woodland"
"362" -159.25 66.25 4 "Boreal Evergreen Forest/Woodland"
"363" -159.25 66.75 4 "Boreal Evergreen Forest/Woodland"
"364" -159.25 67.25 13 "Arctic/Alpine Tundra"
"365" -159.25 67.75 17 "Desert"
"366" -159.25 68.25 17 "Desert"
"367" -159.25 68.75 17 "Desert"
"368" -159.25 69.25 17 "Desert"
"369" -159.25 69.75 17 "Desert"
"370" -159.25 70.25 17 "Desert"
"371" -159.25 70.75 17 "Desert"
"372" -158.75 56.25 4 "Boreal Evergreen Forest/Woodland"
"373" -158.75 56.75 4 "Boreal Evergreen Forest/Woodland"
"374" -158.75 58.75 4 "Boreal Evergreen Forest/Woodland"
"375" -158.75 59.25 4 "Boreal Evergreen Forest/Woodland"
"376" -158.75 59.75 4 "Boreal Evergreen Forest/Woodland"
"377" -158.75 60.25 4 "Boreal Evergreen Forest/Woodland"
"378" -158.75 60.75 4 "Boreal Evergreen Forest/Woodland"
"379" -158.75 61.25 4 "Boreal Evergreen Forest/Woodland"
"380" -158.75 61.75 4 "Boreal Evergreen Forest/Woodland"
"381" -158.75 62.25 4 "Boreal Evergreen Forest/Woodland"
"382" -158.75 62.75 4 "Boreal Evergreen Forest/Woodland"
"383" -158.75 63.25 4 "Boreal Evergreen Forest/Woodland"
"384" -158.75 63.75 4 "Boreal Evergreen Forest/Woodland"
"385" -158.75 64.25 4 "Boreal Evergreen Forest/Woodland"
"386" -158.75 64.75 4 "Boreal Evergreen Forest/Woodland"
"387" -158.75 65.25 4 "Boreal Evergreen Forest/Woodland"
"388" -158.75 65.75 4 "Boreal Evergreen Forest/Woodland"
"389" -158.75 66.25 4 "Boreal Evergreen Forest/Woodland"
"390" -158.75 66.75 4 "Boreal Evergreen Forest/Woodland"
"391" -158.75 67.25 13 "Arctic/Alpine Tundra"
"392" -158.75 67.75 17 "Desert"
"393" -158.75 68.25 17 "Desert"
"394" -158.75 68.75 17 "Desert"
"395" -158.75 69.25 17 "Desert"
"396" -158.75 69.75 17 "Desert"
"397" -158.75 70.25 17 "Desert"
"398" -158.75 70.75 17 "Desert"
"399" -158.25 56.75 4 "Boreal Evergreen Forest/Woodland"
"400" -158.25 57.25 4 "Boreal Evergreen Forest/Woodland"
"401" -158.25 58.75 4 "Boreal Evergreen Forest/Woodland"
"402" -158.25 59.25 4 "Boreal Evergreen Forest/Woodland"
"403" -158.25 59.75 4 "Boreal Evergreen Forest/Woodland"
"404" -158.25 60.25 4 "Boreal Evergreen Forest/Woodland"
"405" -158.25 60.75 4 "Boreal Evergreen Forest/Woodland"
